sensorId,createdAt,value,lat,lon
5f4a2ed8327264001be939e6,2023-02-28T01:25:10.324Z,4.11,47.418744,19.015003
615a29387ea3fe001c5c6730,2023-02-28T01:25:02.782Z,-0.12,47.50262,18.94011
63f358354fbabe00074ecba3,2023-02-28T01:25:02.188Z,0.91,47.47018,19.078783
615a2bcd7ea3fe001c5d77ab,2023-02-28T01:25:00.701Z,-0.15,47.5026,18.9403
5fee0624576ab7001ccf57c5,2023-02-28T01:24:51.977Z,0.62,47.522679,19.106484
63f358354fbabe00074ecba3,2023-02-28T01:24:48.361Z,0.92,47.47018,19.078783
601ceca9e443a0001bcc937c,2023-02-28T01:24:35.663Z,3.56,47.361997,18.929267
60c4dad1e650df001cc4978c,2023-02-28T01:24:34.670Z,-1.12,47.599754,19.241991
5e3f35876a0f2d001bd440a0,2023-02-28T01:24:34.527Z,1.30,47.383982,19.218063
63f358354fbabe00074ecba3,2023-02-28T01:24:34.156Z,0.91,47.47018,19.078783
6391c79670c7ae001b0e1988,2023-02-28T01:24:28.435Z,1.50,47.479865,19.078794
5f15a1e8e8f87e001c7e0eaf,2023-02-28T01:24:21.164Z,-0.88,47.447888,19.181061
61a12255d85cc7001bf7fdab,2023-02-28T01:24:19.795Z,1.23,47.530403,19.281569
63f358354fbabe00074ecba3,2023-02-28T01:24:19.268Z,0.93,47.47018,19.078783
6080401160979a001b0310fe,2023-02-28T01:24:10.624Z,0.64,47.456662,19.159684
618ebe57e30ca5001b8f335d,2023-02-28T01:24:08.035Z,-0.82,47.406479,19.187427
63f358354fbabe00074ecba3,2023-02-28T01:24:05.728Z,0.94,47.47018,19.078783
633c4150ca8ac8001b7abbfc,2023-02-28T01:24:03.775Z,2.90,47.540238,19.072244
615a29387ea3fe001c5c6730,2023-02-28T01:23:58.975Z,-0.41,47.50262,18.94011
61f40eeddb392f001b0f419c,2023-02-28T01:23:58.208Z,1.18,47.523028,19.21117
606d6cfc4393eb001c86ed57,2023-02-28T01:23:57.926Z,0.20,47.537799,19.06623
615a2bcd7ea3fe001c5d77ab,2023-02-28T01:23:57.920Z,-0.16,47.5026,18.9403
63f358354fbabe00074ecba3,2023-02-28T01:23:50.211Z,0.91,47.47018,19.078783
61c1093fe2a8da001b202854,2023-02-28T01:23:46.043Z,0.63,47.441326,19.16742
6217b0854f7ef7001bb35b33,2023-02-28T01:23:43.351Z,0.53,47.475369,19.015587
63f358354fbabe00074ecba3,2023-02-28T01:23:37.048Z,0.88,47.47018,19.078783
609ee46125b716001c53b1fc,2023-02-28T01:23:36.893Z,14.84,47.506199,19.133976
6346b8ea06f5f7001b77b659,2023-02-28T01:23:35.628Z,0.27,47.565538,19.086423
611f76f5b09114001b548f8d,2023-02-28T01:23:33.886Z,3.19,47.504324,19.074182
612f4f89157184001bdf11f5,2023-02-28T01:23:30.284Z,20.45,47.504432,19.075575
609baf0325b716001cb9c8fe,2023-02-28T01:23:29.827Z,-0.15,47.532085,19.07774
6040c7618ad04a001bc570a9,2023-02-28T01:23:27.637Z,2.73,47.4584,19.017398
6348fcc09b62e5001b25ac3c,2023-02-28T01:23:27.516Z,1.41,47.473804,19.013598
6353be94139d1f001b1b21fb,2023-02-28T01:23:27.112Z,2.07,47.513008,19.054063
5e41889919585f001bae8018,2023-02-28T01:23:24.385Z,3.38,47.536316,19.06253
63f358354fbabe00074ecba3,2023-02-28T01:23:24.145Z,0.91,47.47018,19.078783
623894cdbe6329001cb4bfe5,2023-02-28T01:23:23.196Z,1.54,47.465842,19.117917
61a12255d85cc7001bf7fdab,2023-02-28T01:23:17.675Z,1.24,47.530403,19.281569
